address,longitude,city,state,zip,Store,latitude
1001 N Main St MO 63366,-90.700147,O Fallon,MO,63366,McDonald's,38.822025242
101 McDonald Ln MO 63366,-90.699351,O Fallon,MO,63366,McDonald's,38.801726243
2915 Highway K MO 63368,-90.700941,O Fallon,MO,63368,McDonald's,38.758881244
Osage Beach Pkwy MO 65065,-92.671943,Osage Beach,MO,65065,McDonald's,38.131001250
4072 Highway 54 MO 65065,-92.690745,Osage Beach,MO,65065,McDonald's,38.088544251
5699 Fox Creek Rd MO 63069,-90.678605,Eureka,MO,63069,McDonald's,38.506475254
1620 W Union St MO 63069,-90.759105,Pacific,MO,63069,McDonald's,38.484178255
1302 S Perryville Blvd MO 63775,-89.89165,Perryville,MO,63775,McDonald's,37.711603258
S Perryville Blvd MO 63775,-89.890815,Perryville,MO,63775,McDonald's,37.71137259
2783 N Westwood Blvd MO 63901,-90.430801,Poplar Bluff,MO,63901,McDonald's,36.787173262
333 S Westwood Blvd MO 63901,-90.408245,Poplar Bluff,MO,63901,McDonald's,36.756026263
5260 Blue Ridge Blvd MO 64133,-94.442468,Raytown,MO,64133,McDonald's,39.026518266
8909 E State Route 350 MO 64133,-94.478852,Kansas City,MO,64133,McDonald's,38.997236267
500 S Bishop Ave MO 65401,-91.77748,Rolla,MO,65401,McDonald's,37.938696270
1106 Kingshighway St MO 65401,-91.785588,Rolla,MO,65401,McDonald's,37.94442700000001271
3101 W Broadway Blvd MO 65301,-93.264932,Sedalia,MO,65301,McDonald's,38.708564274
1611 S Limit Ave MO 65301,-93.251594,Sedalia,MO,65301,McDonald's,38.672579275
3201 W Broadway Blvd MO 65301,-93.267354,Sedalia,MO,65301,McDonald's,38.709145276
2605 E Malone Ave MO 63801,-89.53609300000002,Sikeston,MO,63801,McDonald's,36.89093280
E Malone Ave MO 63801,-89.559776,Sikeston,MO,63801,McDonald's,36.885019281
1301 S Main St MO 63801,-89.582202,Sikeston,MO,63801,McDonald's,36.864246282
3510 W Chestnut Expy MO 65802,-93.349638,Springfield,MO,65802,McDonald's,37.211708286
3250 E Chestnut Expy MO 65802,-93.228759,Springfield,MO,65802,McDonald's,37.209263287
528 S Glenstone Ave MO 65802,-93.261396,Springfield,MO,65802,McDonald's,37.204126288
234 South National Avenue MO 65802,-93.27558,Springfield,MO,65802,McDonald's,37.208365289
2811 N Kansas Expy MO 65803,-93.31142,Springfield,MO,65803,McDonald's,37.247765290
1114 W Kearney St MO 65803,-93.303953,Springfield,MO,65803,McDonald's,37.240512291
2220 N Glenstone Ave MO 65803,-93.260555,Springfield,MO,65803,McDonald's,37.236674292
2115 E Independence St MO 65804,-93.256063,Springfield,MO,65804,McDonald's,37.142661293
1221 E Kingsley St MO 65804,-93.277466,Springfield,MO,65804,McDonald's,37.140109294
2512 E Sunshine St MO 65804,-93.246274,Springfield,MO,65804,McDonald's,37.180644295
1607 E Battlefield St MO 65804,-93.266769,Springfield,MO,65804,McDonald's,37.160002296
3320 E Battlefield St MO 65804,-93.227589,Springfield,MO,65804,McDonald's,37.157648297
